crop,region,rainfall_mm,avg_temp_c,N_kg_ha,P_kg_ha,K_kg_ha,soil_ph,area_acres,yield_quintal_per_acre
Maize,Maharashtra,332.4,26.5,122.5,96.3,50.5,5.04,4.35,18.86
Wheat,Madhya Pradesh,701.0,21.4,91.6,20.2,26.8,8.1,3.12,14.47
Rice,Punjab,804.4,43.2,72.3,36.8,57.8,5.28,3.93,14.03
Maize,West Bengal,865.6,25.9,78.2,70.8,16.6,5.29,5.42,16.5
Wheat,Punjab,190.3,19.4,104.5,42.7,48.1,6.63,1.2,17.43
Rice,Punjab,934.0,43.1,88.6,55.8,52.0,6.04,7.56,21.07
Rice,Bihar,1232.5,43.4,106.0,89.4,35.0,6.64,1.31,19.9
Rice,Punjab,580.9,43.7,134.5,66.2,18.6,6.9,0.78,15.95
Wheat,West Bengal,236.5,11.8,69.6,69.7,49.5,7.81,7.69,12.86
Rice,Punjab,1907.8,26.3,150.3,26.8,51.8,5.37,1.79,17.79
Wheat,Madhya Pradesh,411.9,25.2,150.7,75.3,27.7,7.16,1.91,15.26
Maize,Madhya Pradesh,669.9,15.8,141.2,82.5,38.7,7.4,9.85,20.31
Maize,Maharashtra,578.6,15.5,133.9,34.3,19.3,6.68,1.48,17.08
Rice,Punjab,1377.5,30.5,169.3,79.5,55.5,5.23,1.95,20.1
Rice,Punjab,805.3,29.4,92.2,28.0,31.6,5.54,5.46,20.13
Maize,West Bengal,518.8,25.0,76.8,102.8,36.2,7.39,9.79,17.47
Rice,Punjab,1208.6,22.5,130.9,25.7,43.8,5.2,7.01,22.09
Maize,West Bengal,682.5,21.8,139.7,25.8,59.8,5.45,2.31,20.23
Maize,Madhya Pradesh,361.3,18.3,121.9,81.7,24.4,6.14,3.88,16.31
Wheat,Maharashtra,213.9,18.3,71.7,46.6,18.8,6.96,6.88,13.81
Maize,Maharashtra,200.2,31.5,143.6,100.7,28.9,7.06,8.11,12.64
Wheat,Punjab,307.0,14.2,82.7,27.7,23.6,8.05,6.83,11.99
Wheat,Punjab,191.9,15.2,181.0,44.6,30.6,5.58,9.88,12.68
Rice,West Bengal,1282.8,32.1,71.5,68.3,33.8,5.57,1.92,23.61
Wheat,West Bengal,884.4,28.1,156.0,71.5,47.0,7.89,6.33,12.71
Maize,Maharashtra,1067.0,17.6,109.3,64.1,33.4,6.31,9.29,16.06
Maize,Uttar Pradesh,467.0,27.1,66.2,57.7,60.9,7.13,5.22,17.33
Maize,Madhya Pradesh,506.8,20.8,100.4,103.2,42.3,6.33,8.19,20.89
Wheat,Bihar,778.6,27.9,53.6,69.9,49.9,5.81,5.16,13.34
Wheat,West Bengal,348.1,10.7,62.0,89.5,36.1,5.71,9.67,13.02
Wheat,Bihar,389.9,28.9,98.3,46.7,60.6,7.74,9.68,14.4
Maize,West Bengal,356.7,25.2,110.5,86.6,57.9,6.83,9.73,16.4
Wheat,Punjab,237.9,15.5,50.5,53.3,26.8,7.89,5.41,14.53
Wheat,Maharashtra,754.9,25.8,146.7,86.0,60.6,6.29,0.79,14.65
Maize,Punjab,853.7,23.4,50.4,33.5,14.0,5.76,0.72,17.75
Wheat,Madhya Pradesh,170.1,28.0,122.0,73.7,52.6,7.95,1.39,13.59
Maize,Bihar,341.2,15.9,174.6,101.2,59.5,7.67,8.39,10.6
Maize,Maharashtra,531.7,27.4,114.6,76.0,63.6,4.82,0.64,20.09
Rice,West Bengal,949.6,32.9,142.0,51.4,22.0,4.93,10.0,21.6
Wheat,Punjab,723.8,15.0,41.0,38.5,57.6,5.54,1.74,12.59
Wheat,Madhya Pradesh,583.2,13.6,97.6,56.2,15.6,7.02,7.63,16.78
Maize,Maharashtra,713.5,27.7,89.5,57.7,24.0,7.26,6.82,17.42
Rice,Madhya Pradesh,1510.9,24.9,124.4,73.3,54.3,5.71,5.33,24.24
Maize,Punjab,800.1,32.7,156.6,56.2,54.1,6.42,3.22,16.05
Wheat,Madhya Pradesh,856.7,16.0,180.6,21.4,20.0,5.68,1.26,12.61
Wheat,Punjab,282.6,28.1,106.8,29.2,20.0,6.68,3.86,13.78
Wheat,Uttar Pradesh,333.5,11.4,100.7,79.6,51.6,7.59,8.17,14.77
Maize,Punjab,288.8,30.1,162.2,34.7,55.4,7.39,1.42,9.81
Wheat,Punjab,164.2,22.0,141.2,21.0,52.9,7.15,3.11,14.79
Maize,Maharashtra,1113.7,21.5,56.5,34.6,36.2,7.11,4.8,13.11
Maize,West Bengal,1019.7,28.3,102.6,36.0,62.9,6.77,3.86,14.96
Maize,West Bengal,825.9,23.5,136.2,49.7,42.2,6.31,5.67,19.48
Wheat,Punjab,787.3,29.3,156.8,77.4,32.4,7.35,6.0,13.34
Maize,Punjab,878.3,31.4,175.5,45.4,22.8,6.18,9.06,12.95
Maize,West Bengal,690.3,33.3,146.0,39.7,55.0,6.24,7.98,15.98
Wheat,Bihar,677.4,26.6,113.6,87.9,61.2,6.59,2.02,15.94
Maize,Madhya Pradesh,339.6,29.8,172.5,27.8,18.1,7.06,8.86,12.34
Rice,West Bengal,2032.0,40.4,89.5,81.1,62.9,5.31,6.3,14.01
Maize,Madhya Pradesh,974.9,26.9,106.6,102.0,32.9,5.9,6.12,15.51
Wheat,Madhya Pradesh,683.8,29.7,109.5,27.1,53.1,5.13,7.76,13.66
Wheat,Bihar,748.2,25.1,119.5,85.7,28.6,5.93,2.24,14.33
Maize,Uttar Pradesh,660.0,19.1,155.1,34.0,35.3,7.15,8.11,17.28
Wheat,West Bengal,367.2,29.0,141.0,48.7,52.9,6.17,5.46,18.62
Wheat,Madhya Pradesh,519.3,11.5,96.1,85.0,25.8,8.09,1.45,14.03
Wheat,Bihar,179.9,17.4,88.9,57.7,49.2,5.66,6.22,16.49
Maize,Punjab,683.8,18.5,42.3,46.6,40.0,6.84,4.66,17.17
Maize,Uttar Pradesh,1043.4,24.5,57.3,102.3,34.1,5.64,1.64,14.41
Rice,Bihar,917.6,32.0,53.8,80.1,45.5,6.02,2.07,18.77
Rice,Bihar,1747.5,33.2,169.1,28.2,29.6,5.57,6.99,14.77
Wheat,Uttar Pradesh,274.8,14.8,147.0,47.1,36.3,6.98,9.62,16.22
Wheat,Bihar,500.2,24.9,139.4,32.8,57.8,6.29,9.66,15.59
Rice,Bihar,790.9,22.0,131.3,89.0,26.6,5.29,1.83,15.7
Rice,Bihar,2044.0,20.6,129.7,70.9,38.3,5.39,5.73,17.84
Rice,Maharashtra,1965.8,30.7,113.9,76.8,30.0,6.75,5.19,18.62
Rice,West Bengal,1723.6,19.2,85.8,83.7,53.2,6.51,6.85,14.67
Wheat,Maharashtra,735.2,23.5,61.7,25.2,45.3,6.68,2.76,14.17
Wheat,Uttar Pradesh,686.6,28.9,104.8,67.5,36.5,7.11,5.01,17.42
Wheat,Maharashtra,862.6,18.3,77.4,90.6,41.1,7.82,9.16,12.88
Maize,Punjab,528.8,29.2,162.6,82.9,63.2,6.78,7.58,16.95
Wheat,Madhya Pradesh,399.7,11.3,171.4,90.4,20.5,7.26,4.54,14.88
Rice,Bihar,1643.8,34.6,69.9,41.6,63.4,5.79,0.92,16.18
Maize,Punjab,216.6,30.2,122.9,25.5,53.5,4.98,5.63,13.5
Wheat,West Bengal,202.7,24.4,48.5,41.8,45.4,5.78,0.86,15.62
Rice,West Bengal,2062.2,35.6,47.4,26.6,18.5,7.03,7.0,12.07
Wheat,Madhya Pradesh,860.2,22.5,120.6,65.9,36.5,5.27,4.27,16.83
Maize,West Bengal,1065.3,30.2,92.3,85.7,39.8,6.31,5.45,15.4
Rice,Bihar,1226.1,18.7,99.0,76.0,21.6,5.81,9.9,20.25
Wheat,Maharashtra,892.9,18.3,48.3,90.9,56.8,5.8,7.39,12.26
Maize,Maharashtra,527.3,20.8,179.2,69.7,64.6,5.71,4.43,19.25
Rice,Madhya Pradesh,1147.7,43.4,179.9,84.3,54.7,5.34,3.55,17.59
Maize,West Bengal,655.3,21.5,134.0,89.3,63.9,6.06,6.85,21.48
Rice,Bihar,669.9,21.7,109.1,37.3,26.0,4.7,4.02,15.23
Rice,Maharashtra,1672.6,24.9,178.7,22.3,33.7,6.86,2.21,16.34
Rice,Uttar Pradesh,1925.8,18.7,88.3,44.9,31.3,5.88,8.01,16.36
Rice,West Bengal,600.4,24.5,125.2,30.8,47.4,5.76,3.68,20.65
Rice,Madhya Pradesh,1127.4,33.5,130.1,49.2,34.8,5.21,6.09,23.25
Rice,Punjab,498.5,42.4,97.2,79.2,48.7,5.15,2.17,16.4
Wheat,Madhya Pradesh,785.3,25.5,173.9,68.3,31.8,5.83,1.04,14.1
Wheat,Madhya Pradesh,902.9,13.0,137.0,53.1,41.6,5.67,7.37,15.9
Maize,Maharashtra,792.6,26.1,82.7,71.3,52.2,6.23,7.91,18.64
Maize,Bihar,421.6,24.1,180.5,31.2,44.3,5.17,5.35,16.65
Wheat,Madhya Pradesh,321.4,23.3,57.6,53.4,27.0,7.79,5.77,15.73
Wheat,West Bengal,899.2,28.7,112.5,24.9,25.4,7.55,1.56,13.59
Rice,Maharashtra,522.1,23.3,106.3,90.3,64.8,7.1,4.52,15.93
Rice,Madhya Pradesh,1278.8,34.3,70.5,46.7,25.0,6.91,2.75,17.56
Maize,West Bengal,659.2,16.9,133.7,26.5,30.0,5.94,8.99,19.95
Wheat,Madhya Pradesh,249.2,24.2,115.4,79.2,24.5,5.48,3.94,13.82
Rice,Punjab,1211.3,26.9,71.9,23.3,32.0,6.44,0.68,20.21
Rice,Maharashtra,1631.0,18.1,139.9,90.3,26.4,5.35,8.23,17.37
Rice,Uttar Pradesh,1532.4,28.9,150.7,50.2,26.0,5.35,0.93,21.92
Rice,Madhya Pradesh,870.3,30.8,80.7,35.3,49.9,6.03,8.48,17.88
Maize,Uttar Pradesh,789.2,32.6,180.8,52.6,62.3,6.53,9.11,14.73
Maize,Maharashtra,265.9,30.3,148.1,56.2,27.7,6.82,5.89,13.9
Maize,West Bengal,767.0,22.1,81.9,100.5,35.8,6.83,8.2,18.82
Maize,Madhya Pradesh,1089.6,18.0,59.7,84.2,49.9,5.24,3.37,12.39
Rice,Punjab,1514.5,39.4,138.4,62.2,21.5,6.69,0.85,20.75
Maize,Maharashtra,638.4,29.8,85.4,80.3,42.4,7.23,7.87,17.21
Rice,Uttar Pradesh,961.3,35.5,161.6,25.5,53.0,5.44,2.56,18.16
Maize,Uttar Pradesh,808.7,29.4,162.0,33.9,31.2,7.2,9.26,17.11
Rice,Madhya Pradesh,976.1,22.5,43.5,85.8,36.9,5.44,6.19,18.76
Rice,Maharashtra,1130.0,26.9,169.6,85.3,47.2,4.95,5.08,18.48
Wheat,Madhya Pradesh,320.4,23.9,57.8,32.1,45.3,6.16,7.19,13.32
Wheat,Madhya Pradesh,886.4,25.9,57.0,77.3,47.0,6.17,8.9,14.96
Maize,Bihar,1097.1,32.8,50.5,46.6,29.1,4.89,8.54,9.61
Maize,Madhya Pradesh,943.7,32.5,57.0,77.6,46.2,6.7,0.8,14.53
Rice,Madhya Pradesh,1504.0,41.9,99.2,20.3,17.2,4.95,1.41,19.06
Rice,Bihar,1682.4,39.9,158.2,71.8,54.9,6.99,5.01,14.65
Maize,Bihar,300.3,28.0,62.4,36.4,44.2,4.81,0.81,14.93
Wheat,Bihar,800.0,14.3,100.4,89.9,18.9,7.75,5.2,14.74
Maize,West Bengal,499.4,28.9,161.2,59.4,23.3,7.68,3.91,15.35
Rice,West Bengal,1806.3,32.7,150.0,64.8,59.0,6.26,5.46,17.56
Wheat,Maharashtra,668.2,12.1,69.6,72.4,21.5,5.87,6.68,13.84
Rice,West Bengal,427.1,23.7,111.1,58.4,42.2,6.44,3.11,21.21
Rice,Punjab,1769.9,41.0,50.0,60.8,37.8,6.2,4.75,15.64
Rice,Madhya Pradesh,1133.8,32.1,118.5,23.0,36.4,5.2,9.21,21.15
Rice,West Bengal,1847.9,23.8,127.8,85.8,27.2,6.39,9.88,16.82
Maize,Bihar,420.1,20.2,135.3,42.6,18.5,7.63,3.49,14.37
Maize,Madhya Pradesh,935.1,30.0,117.1,104.0,33.7,7.52,6.49,13.83
Maize,Madhya Pradesh,742.3,18.7,75.8,33.9,60.2,5.37,9.44,15.35
Rice,Uttar Pradesh,1493.3,30.9,175.8,84.2,34.2,7.02,8.91,16.76
Rice,Uttar Pradesh,852.0,42.9,150.6,70.9,36.9,5.35,1.42,19.37
Rice,Punjab,1164.8,23.9,140.9,80.4,58.6,5.51,5.54,23.02
Wheat,Punjab,333.3,25.0,60.6,73.6,25.4,6.97,5.86,15.39
Wheat,West Bengal,426.4,19.4,122.3,55.5,19.5,6.17,4.07,19.22
Maize,Punjab,621.7,19.4,154.6,72.8,46.3,5.01,0.51,18.61
Wheat,Madhya Pradesh,362.8,10.9,174.3,73.6,24.3,6.88,6.15,13.58
Wheat,Uttar Pradesh,890.9,15.7,152.5,55.9,23.0,7.13,8.03,14.29
Rice,Uttar Pradesh,873.7,43.5,171.2,25.4,47.5,5.81,7.04,15.0
Maize,Bihar,527.9,33.4,84.2,53.6,63.7,6.7,8.85,16.32
Rice,Uttar Pradesh,1432.8,35.6,143.8,35.9,58.3,6.38,1.04,21.79
Maize,Uttar Pradesh,680.6,27.1,170.7,87.8,17.3,6.83,2.89,16.74
Rice,Uttar Pradesh,1626.2,23.3,67.5,42.4,60.0,6.65,9.5,16.51
Rice,Maharashtra,2092.6,25.2,152.0,59.4,45.2,7.11,6.71,18.65
Maize,Punjab,659.7,24.7,47.2,39.1,60.5,5.63,4.24,16.84
Wheat,West Bengal,683.5,25.1,173.9,38.7,54.1,7.27,8.85,15.74
Rice,West Bengal,2025.0,38.7,159.1,76.4,24.6,6.24,7.69,16.22
Maize,West Bengal,541.9,19.0,181.0,46.1,36.4,5.47,5.21,17.84
Maize,Uttar Pradesh,806.0,22.5,121.2,94.8,32.6,5.88,8.73,17.77
Maize,Uttar Pradesh,673.2,33.7,108.2,36.1,42.3,5.34,8.86,18.09
Maize,Maharashtra,1005.9,17.9,149.6,86.2,36.8,6.31,1.96,14.88
Maize,Bihar,1045.2,18.7,98.9,46.1,41.4,7.62,3.44,13.96
Maize,Punjab,827.1,17.6,40.6,85.0,14.8,7.34,5.53,14.87
Maize,Maharashtra,685.8,25.3,46.4,30.5,60.6,6.42,2.58,15.59
Maize,Uttar Pradesh,752.0,25.7,40.7,35.0,14.6,5.44,0.54,17.17
Maize,West Bengal,751.5,21.3,141.9,25.9,25.8,5.47,1.62,19.78
Wheat,Uttar Pradesh,829.3,15.5,85.4,35.8,41.8,7.04,5.56,17.76
Rice,Maharashtra,1053.8,26.0,141.8,70.9,62.5,6.08,3.3,20.63
Maize,Punjab,728.0,28.6,177.7,103.8,39.7,5.15,6.39,15.97
Rice,Maharashtra,1877.5,41.3,87.9,63.4,45.0,5.34,2.61,18.97
Rice,Maharashtra,1918.2,21.3,164.8,26.8,21.8,6.0,1.14,13.77
Wheat,Madhya Pradesh,305.6,24.0,55.4,67.4,34.4,7.21,4.13,14.54
Maize,Uttar Pradesh,372.7,32.1,47.9,46.6,37.1,5.36,6.81,12.01
Wheat,West Bengal,604.1,14.2,164.2,23.5,41.0,5.3,7.1,15.8
Maize,Uttar Pradesh,985.4,30.7,80.8,73.0,32.6,5.14,6.67,12.98
Rice,Maharashtra,860.0,24.7,63.0,43.6,30.9,5.8,2.31,16.98
Wheat,Maharashtra,213.5,17.6,111.9,29.6,41.9,6.77,6.23,16.33
Wheat,West Bengal,749.3,25.9,180.4,74.9,28.5,5.15,9.7,11.7
Rice,West Bengal,1101.4,27.3,100.5,66.3,58.2,5.8,2.85,21.79
Maize,Maharashtra,304.9,25.1,170.0,86.8,34.5,7.26,4.91,15.12
Rice,West Bengal,560.6,37.1,77.3,86.5,26.3,4.98,8.4,12.12
Maize,Uttar Pradesh,861.7,31.5,180.7,62.9,37.5,5.67,7.9,15.57
Wheat,Punjab,849.5,29.1,91.1,38.3,54.2,7.38,5.3,12.18
Maize,Madhya Pradesh,521.9,26.8,146.1,89.1,29.7,7.27,3.38,17.38
Wheat,Maharashtra,463.5,21.9,165.8,84.8,34.4,7.02,3.15,17.39
Rice,Punjab,415.9,37.1,82.9,59.9,22.6,6.7,8.26,15.68
Wheat,Punjab,779.0,20.1,165.3,41.7,46.0,8.01,2.13,12.89
Rice,Punjab,927.7,35.7,74.2,74.9,28.6,6.21,8.09,17.84
Rice,Uttar Pradesh,836.3,37.1,50.5,74.4,54.4,5.67,7.36,15.95
Rice,Uttar Pradesh,1273.4,19.5,136.4,70.9,40.7,6.64,3.35,24.86
Maize,Bihar,789.2,18.4,93.6,80.4,15.6,5.31,9.96,18.47
Rice,Bihar,1326.2,34.8,101.1,35.5,58.2,5.53,9.27,23.7
Rice,Madhya Pradesh,1716.3,35.1,87.4,83.8,52.9,5.34,3.96,16.75
Rice,Uttar Pradesh,402.8,20.4,162.5,20.1,39.9,5.89,3.66,15.04
Wheat,Madhya Pradesh,647.9,18.7,172.8,71.6,40.9,5.75,6.67,17.36
Maize,Punjab,1082.5,29.1,57.6,49.0,54.6,5.51,7.53,13.96
Wheat,West Bengal,419.4,30.5,57.1,55.1,42.3,6.79,7.7,14.85
Rice,Punjab,924.6,43.7,170.1,61.6,63.3,6.82,3.53,13.97
Rice,Madhya Pradesh,1343.9,33.2,152.5,73.5,59.5,6.67,2.85,21.17
Rice,Maharashtra,1125.9,20.1,96.9,89.9,52.4,7.11,7.59,18.78
Wheat,Bihar,472.5,23.0,126.5,65.8,49.6,5.43,3.4,19.39
Maize,Punjab,912.1,28.8,89.4,24.6,54.1,4.98,4.87,12.53
Maize,Bihar,1093.6,23.4,163.2,25.9,58.9,7.37,6.71,10.67
Wheat,Punjab,623.4,27.4,97.5,63.1,59.6,7.78,9.24,15.22
Rice,Bihar,936.4,20.9,138.7,39.4,31.6,4.9,5.23,17.79
Rice,Uttar Pradesh,1310.1,23.3,163.2,73.1,34.9,6.52,0.57,19.97
Maize,Punjab,454.7,17.1,105.2,74.3,56.2,6.07,9.72,15.82
Rice,Punjab,2050.4,29.5,86.4,23.4,15.9,5.65,9.34,17.37
Rice,Bihar,482.7,18.3,180.5,55.0,32.1,5.36,9.81,15.0
Wheat,Maharashtra,717.9,25.4,138.0,55.2,42.9,6.55,4.25,18.21
Maize,West Bengal,703.6,24.3,62.1,92.4,48.5,6.6,2.59,18.73
Wheat,Madhya Pradesh,848.9,15.6,173.5,34.5,17.6,5.71,8.24,13.31
Maize,Uttar Pradesh,342.9,28.3,119.9,66.8,18.2,5.17,4.26,14.96
Maize,Bihar,521.9,21.6,98.0,51.6,44.6,5.96,4.69,21.46
Maize,Madhya Pradesh,855.9,23.3,122.6,93.0,33.0,4.98,8.97,17.33
Maize,Bihar,943.5,25.7,78.5,59.0,40.9,6.69,6.52,16.33
Maize,Madhya Pradesh,1015.0,24.8,149.7,46.7,43.9,6.0,1.33,16.79
Maize,West Bengal,592.4,28.3,40.2,87.5,38.6,7.47,5.45,16.63
Maize,Bihar,509.7,26.2,152.5,100.8,44.6,6.88,6.4,19.66
Wheat,West Bengal,502.7,20.7,142.3,25.3,34.7,7.57,5.56,17.29
Maize,Uttar Pradesh,653.1,32.8,136.1,70.8,30.6,5.56,0.81,18.48
Wheat,Maharashtra,179.2,26.9,76.3,69.0,41.7,7.74,9.62,13.31
Rice,Uttar Pradesh,1094.2,23.4,75.1,61.5,30.2,6.73,1.56,18.52
Rice,West Bengal,1977.3,33.3,90.7,51.4,47.6,5.73,7.45,20.44
Maize,Madhya Pradesh,460.3,29.2,102.1,47.9,36.0,6.63,9.89,18.91
Maize,West Bengal,222.1,25.1,177.6,45.4,34.8,5.39,5.8,13.97
Maize,Punjab,662.6,24.6,126.5,65.3,49.1,5.0,0.72,23.76
Maize,Maharashtra,498.5,32.4,152.9,92.1,48.0,5.93,9.37,17.02
Rice,Bihar,1102.4,23.9,109.2,47.5,51.2,7.06,6.12,23.92
Maize,Bihar,242.7,18.4,148.2,42.0,64.6,7.05,8.56,12.31
Rice,Uttar Pradesh,1123.6,18.8,172.2,48.1,32.4,6.55,3.01,17.87
Wheat,West Bengal,369.4,11.0,161.5,46.1,31.5,5.47,6.77,14.5
Maize,West Bengal,346.3,19.3,108.1,54.8,26.2,5.26,8.68,14.97
Rice,Punjab,1963.2,25.4,85.7,80.7,59.6,6.94,3.28,12.71
Maize,Bihar,341.3,29.1,62.8,29.2,33.9,7.6,3.43,10.29
Rice,Madhya Pradesh,1885.8,31.0,107.2,34.1,33.2,5.5,3.07,19.87
Wheat,Uttar Pradesh,698.3,25.0,56.6,36.3,51.3,5.57,7.06,15.93
Rice,Madhya Pradesh,1069.1,27.4,99.4,29.2,35.6,5.64,0.83,22.89
Wheat,Maharashtra,465.5,11.9,170.0,72.7,49.0,7.25,3.21,15.3
Rice,Uttar Pradesh,829.6,26.1,83.4,60.1,35.1,4.94,8.97,18.96
Wheat,West Bengal,683.8,27.2,141.9,67.1,50.1,7.43,7.38,18.87
Maize,Bihar,670.5,22.6,166.0,25.0,18.1,5.66,2.09,17.01
Maize,Madhya Pradesh,644.8,20.2,144.2,27.8,57.5,6.07,0.65,17.49
Wheat,West Bengal,387.4,17.8,62.2,62.1,62.8,6.41,9.96,16.82
Rice,West Bengal,998.6,25.0,64.8,74.2,39.3,6.95,0.81,20.76
Wheat,Madhya Pradesh,501.7,18.6,72.9,35.5,51.5,5.35,2.81,15.12
Rice,Maharashtra,903.9,25.4,45.8,42.3,58.8,6.93,1.54,17.65
Rice,West Bengal,1048.3,30.3,118.8,21.4,57.0,7.08,6.71,20.05
Wheat,Maharashtra,664.4,28.4,42.5,81.0,52.3,8.08,2.72,13.46
Rice,Uttar Pradesh,1887.7,33.6,79.5,27.1,44.9,4.84,2.79,14.01
Wheat,Uttar Pradesh,525.7,16.1,119.6,82.4,41.7,6.0,1.09,17.58
Maize,Bihar,202.2,20.5,135.1,95.0,43.3,6.31,4.97,17.11
Maize,West Bengal,967.3,24.8,130.6,78.0,34.4,6.15,7.08,18.06
Wheat,Maharashtra,865.8,26.9,43.9,78.1,53.4,6.73,5.22,11.19
Rice,Punjab,1456.8,35.1,104.6,40.4,17.3,5.54,2.17,21.66
Wheat,Bihar,672.4,12.7,56.1,48.4,14.3,7.37,5.63,13.84
Maize,West Bengal,511.9,15.2,125.8,96.3,16.7,5.27,6.92,17.52
Maize,Madhya Pradesh,715.1,25.4,49.2,79.3,21.6,6.48,4.99,18.35
Wheat,Maharashtra,608.5,20.5,122.1,87.9,31.4,7.46,4.75,20.33
Wheat,West Bengal,359.3,14.0,94.2,43.7,23.5,8.1,5.09,13.94
Wheat,Maharashtra,567.9,22.2,130.3,42.4,15.2,7.9,9.33,17.43
Wheat,Punjab,231.5,25.2,157.7,41.8,42.9,5.83,1.71,13.89
Rice,Maharashtra,1158.3,41.9,126.9,22.5,22.0,5.18,9.77,18.52
Maize,West Bengal,440.3,30.3,80.8,96.6,26.5,6.16,2.09,13.53
Rice,Punjab,1971.8,41.2,113.7,64.4,24.9,5.78,2.43,15.46
Rice,West Bengal,1576.7,27.8,146.7,84.5,49.9,6.99,6.09,18.26
Rice,West Bengal,1245.1,24.4,88.7,66.1,39.4,4.91,1.19,20.61
Maize,Punjab,533.6,17.9,131.3,95.6,27.0,5.41,9.03,18.12
Rice,Maharashtra,1657.7,43.4,160.2,61.2,46.0,5.55,6.96,20.23
Wheat,Punjab,860.6,16.5,111.2,90.8,42.9,6.4,9.33,14.74
Wheat,Uttar Pradesh,404.2,17.6,136.0,64.1,30.2,5.47,5.99,19.14
Rice,Punjab,619.1,35.6,174.0,50.3,60.0,4.92,0.91,15.87
Maize,Madhya Pradesh,229.9,26.9,167.4,79.5,34.6,6.54,8.22,15.95
Maize,Punjab,618.7,26.3,102.8,93.9,23.1,5.05,4.37,18.93
Maize,Madhya Pradesh,486.8,16.2,127.1,25.3,24.5,6.45,3.91,16.79
Wheat,West Bengal,520.2,26.1,157.3,74.3,33.6,7.12,8.64,17.25
Rice,Madhya Pradesh,1462.1,29.1,147.6,88.8,63.0,6.71,6.22,19.95
Wheat,Madhya Pradesh,185.9,25.3,144.6,60.0,22.6,7.86,6.16,13.74
Maize,Uttar Pradesh,784.8,24.7,126.7,32.6,20.4,6.87,9.71,19.27
Maize,West Bengal,387.6,24.8,95.6,54.6,42.6,5.0,2.55,16.87
Rice,Punjab,1731.1,39.2,107.6,56.1,50.6,5.33,8.62,20.49
Wheat,Uttar Pradesh,572.0,26.7,63.1,48.9,60.9,5.64,1.08,16.4
Rice,Maharashtra,660.3,26.2,135.2,51.2,51.4,6.82,7.7,21.92
Rice,Punjab,913.0,24.2,141.0,66.6,37.0,6.24,2.02,22.45
Maize,West Bengal,235.2,29.1,74.3,87.8,45.9,6.16,0.72,13.64
Rice,Punjab,551.2,18.1,48.0,80.6,26.0,6.03,4.55,14.34
Maize,Maharashtra,604.5,31.4,113.4,25.0,49.4,4.87,5.07,17.64
Wheat,Bihar,721.7,29.3,174.9,78.6,24.5,5.59,1.06,10.83
Maize,West Bengal,453.1,21.3,166.1,50.1,36.6,7.62,8.64,15.52
Rice,Maharashtra,912.1,25.6,177.3,51.2,36.8,6.04,4.39,19.68
Wheat,Maharashtra,561.7,11.7,64.8,75.5,33.5,5.21,2.09,13.68
Rice,Bihar,1872.5,36.0,51.7,31.4,34.0,4.93,9.37,14.36
Rice,Madhya Pradesh,1520.0,31.3,78.5,59.3,39.1,6.65,9.58,21.6
Wheat,Punjab,445.1,12.8,163.1,69.8,16.1,5.46,1.42,13.61
Maize,Bihar,588.5,17.6,67.7,32.2,63.8,5.06,7.69,14.23
Wheat,Uttar Pradesh,759.2,30.5,145.3,70.5,36.0,7.75,1.34,13.43
Wheat,Uttar Pradesh,621.0,16.6,112.1,74.4,14.9,6.88,2.15,17.76
Wheat,Punjab,793.5,23.6,116.4,84.9,54.9,7.88,9.96,15.1
Wheat,Maharashtra,417.1,18.6,141.6,34.1,62.3,8.24,8.28,16.9
Wheat,Madhya Pradesh,289.5,23.2,99.1,68.0,33.0,6.72,2.29,16.74
Wheat,West Bengal,538.7,17.1,156.8,25.9,36.1,7.54,3.47,17.72
Maize,Bihar,527.2,27.6,152.6,51.7,18.3,6.97,4.22,19.17
Wheat,Madhya Pradesh,817.3,27.4,54.8,57.7,47.3,6.66,4.21,13.74
Rice,Punjab,689.6,28.3,159.3,52.5,61.5,5.19,7.29,15.49
Rice,West Bengal,1652.1,35.3,114.3,33.4,54.6,7.05,7.36,18.27
Maize,West Bengal,991.5,23.4,41.6,66.3,44.3,6.04,8.46,16.33
Wheat,Madhya Pradesh,218.9,20.9,131.6,78.3,37.6,5.85,5.16,16.06
Rice,Madhya Pradesh,1232.8,18.4,121.6,59.6,14.8,6.81,6.39,22.98
Wheat,Madhya Pradesh,757.2,17.7,164.0,35.5,42.7,5.58,3.25,13.18
Maize,Bihar,1043.4,22.7,78.6,103.8,19.2,6.52,7.99,13.65
Maize,Madhya Pradesh,549.5,25.9,73.0,75.8,27.3,7.18,7.19,17.48
Rice,Bihar,527.5,36.7,160.6,53.5,40.0,5.45,9.71,16.2
Wheat,Bihar,651.3,14.9,122.7,45.2,46.5,6.83,2.21,18.1
Maize,Maharashtra,726.2,28.5,62.0,41.2,26.1,5.93,7.72,15.97
Wheat,Bihar,859.9,30.9,60.4,54.9,59.7,7.23,4.63,11.96
Wheat,West Bengal,394.8,21.3,162.1,88.7,28.3,7.15,8.67,17.32
Wheat,Punjab,730.3,11.3,67.9,21.6,53.7,8.2,6.77,10.44
Wheat,West Bengal,679.0,11.4,157.9,88.3,45.0,8.11,4.42,14.62
Maize,Maharashtra,1035.9,19.4,91.0,53.6,25.9,6.0,5.3,15.5
Wheat,Maharashtra,162.7,16.4,150.6,72.7,14.5,6.58,4.65,14.74
